-4.994, pacersTimeDist, 88.538, spursTimeDist, 93.532, 92.063, 1500.34, 91.979, 1406.532, 
-3.779, magicTimeDist, 85.638, bullsTimeDist, 89.417, 88.955, 1410.511, 89.072, 1496.726, 
-5.331, pistonsTimeDist, 92.492, nuggetsTimeDist, 97.823, 95.019, 1521.485, 94.941, 1384.643, 
-8.507, raptorsTimeDist, 92.669, thunderTimeDist, 101.176, 93.257, 1524.826, 93.175, 1381.345, 
-0.75446, pacersTimeDist, 89.65666, hawksTimeDist, 90.41112, 91.66414, 1496.462, 91.60384, 1410.685, 
-6.263, wizardsTimeDist, 86.827, celticsTimeDist, 93.09, 95.028, 1458.561, 95.067, 1447.638, 
3.323, sunsTimeDist, 94.525, bobcatsTimeDist, 91.202, 92.668, 1438.253, 92.676, 1468.496, 
-1.038, raptorsTimeDist, 94.94, mavericksTimeDist, 95.978, 93.68, 1535.186, 93.561, 1370.7, 
-3.404, cavaliersTimeDist, 94.505, warriorsTimeDist, 97.909, 95.174, 1495.035, 95.087, 1409.967, 
-3.377, nuggetsTimeDist, 102.854, rocketsTimeDist, 106.231, 100.589, 1469.54, 100.545, 1435.033, 
-1.764, spursTimeDist, 93.383, clippersTimeDist, 95.147, 93.737, 1431.586, 93.768, 1475.497, 
-6.993, netsTimeDist, 87.893, heatTimeDist, 94.886, 88.989, 1504.911, 88.951, 1404.111, 
3.057, grizzliesTimeDist, 91.732, bucksTimeDist, 88.675, 91.708, 1539.291, 91.583, 1367.896, 
-1.726, magicTimeDist, 89.581, timberwolvesTimeDist, 91.307, 91.394, 1453.735, 91.42, 1452.784, 
2.61, sixersTimeDist, 90.709, hornetsTimeDist, 88.099, 90.088, 1414.231, 90.127, 1492.833, 
-4.278, pistonsTimeDist, 92.515, kingsTimeDist, 96.793, 92.959, 1490.631, 92.871, 1416.396, 
-0.04852, lakersTimeDist, 95.39084, jazzTimeDist, 95.43936, 93.003, 1389.94, 93.08844, 1516.492, 
1.756, thunderTimeDist, 90.762, bullsTimeDist, 89.006, 91.943, 1357.514, 92.066, 1549.147, 
3.867, clippersTimeDist, 94.095, blazersTimeDist, 90.228, 91.421, 1442.412, 91.453, 1465.115, 
1.69, heatTimeDist, 95.453, hawksTimeDist, 93.763, 93.275, 1474.955, 93.231, 1432.51, 
-3.791, sixersTimeDist, 90.5, celticsTimeDist, 94.291, 94.171, 1474.691, 94.168, 1430.655, 
-4.57, jazzTimeDist, 93.129, nuggetsTimeDist, 97.699, 94.221, 1536.778, 94.077, 1370.265, 
-4.579, warriorsTimeDist, 96.799, lakersTimeDist, 101.378, 97.644, 1446.244, 97.659, 1457.76, 
-3.552, rocketsTimeDist, 90.892, grizzliesTimeDist, 94.444, 93.566, 1338.703, 93.73, 1567.869, 
2.203, pacersTimeDist, 88.571, timberwolvesTimeDist, 86.368, 90.18, 1474.496, 90.136, 1432.951, 
-1.669, bobcatsTimeDist, 87.797, hornetsTimeDist, 89.466, 89.515, 1416.895, 89.597, 1491.55, 
-7.25, mavericksTimeDist, 91.578, knicksTimeDist, 98.828, 94.192, 1380.996, 94.315, 1523.57, 
-11.176, pistonsTimeDist, 89.775, thunderTimeDist, 100.951, 94.208, 1508.755, 94.123, 1397.245, 
1.127, netsTimeDist, 90.675, magicTimeDist, 89.548, 88.591, 1501.38, 88.535, 1406.511, 
1.0747, cavaliersTimeDist, 93.20888, sunsTimeDist, 92.13418, 93.00548, 1462.872, 92.99472, 1443.56, 
3.777, spursTimeDist, 100.042, kingsTimeDist, 96.265, 95.267, 1452.522, 95.225, 1452.42, 
-0.53248, bucksTimeDist, 93.45794, wizardsTimeDist, 93.99042, 96.07442, 1431.877, 96.10596, 1473.212, 
1.096, mavericksTimeDist, 95.045, bobcatsTimeDist, 93.949, 95.372, 1396.031, 95.402, 1509.706, 
-0.93072, timberwolvesTimeDist, 86.4715, bullsTimeDist, 87.40222, 88.86114, 1414.965, 88.92016, 1492.631, 
0.73634, nuggetsTimeDist, 100.7762, warriorsTimeDist, 100.0399, 98.72108, 1442.498, 98.73284, 1461.996, 
-8.642, pistonsTimeDist, 93.771, rocketsTimeDist, 102.413, 95.924, 1536.016, 95.79, 1369.616, 
-5.171, wizardsTimeDist, 84.675, pacersTimeDist, 89.846, 91.817, 1407.806, 91.791, 1499.114, 
0.38932, celticsTimeDist, 94.00936, bucksTimeDist, 93.62004, 96.46902, 1466.873, 96.44608, 1437.954, 
5.027, spursTimeDist, 96.518, blazersTimeDist, 91.491, 93.016, 1417.069, 93.064, 1489.084, 
-1.977, sixersTimeDist, 90.484, raptorsTimeDist, 92.461, 90.645, 1422.724, 90.719, 1485.055, 
-1.805, sunsTimeDist, 92.323, jazzTimeDist, 94.128, 91.351, 1417.269, 91.396, 1489.574, 
-4.266, magicTimeDist, 88.016, netsTimeDist, 92.282, 88.777, 1409.416, 88.823, 1498.002, 
-6.4, hawksTimeDist, 90.507, clippersTimeDist, 96.907, 93.298, 1438.795, 93.335, 1468.691, 
-7.948, kingsTimeDist, 92.831, lakersTimeDist, 100.779, 96.297, 1469.301, 96.312, 1435.946, 
-1.26, heatTimeDist, 88.228, grizzliesTimeDist, 89.488, 89.323, 1411.361, 89.411, 1497.658, 
-10.654, cavaliersTimeDist, 93.054, thunderTimeDist, 103.708, 95.104, 1494.648, 95.051, 1411.032, 
1.714, celticsTimeDist, 88.758, bullsTimeDist, 87.044, 90.892, 1378.271, 91.017, 1528.361, 
-1.593, timberwolvesTimeDist, 94.275, mavericksTimeDist, 95.868, 94.836, 1513.3, 94.743, 1391.819, 
3.118, thunderTimeDist, 94.425, pistonsTimeDist, 91.307, 94.147, 1397.414, 94.266, 1509.158, 
-2.442, heatTimeDist, 99.152, rocketsTimeDist, 101.594, 96.604, 1527.308, 96.478, 1378.309, 
0.17742, bucksTimeDist, 93.91904, sixersTimeDist, 93.74162, 94.90092, 1414.8, 94.9507, 1490.604, 
5.31, nuggetsTimeDist, 99.068, sunsTimeDist, 93.758, 96.342, 1408.75, 96.436, 1496.831, 
-0.22408, hawksTimeDist, 92.48074, blazersTimeDist, 92.70482, 92.55206, 1425.28, 92.5949, 1481.115, 
-2.645, jazzTimeDist, 89.866, raptorsTimeDist, 92.511, 89.195, 1451.959, 89.163, 1456.265, 
-3.447, cavaliersTimeDist, 89.005, netsTimeDist, 92.452, 89.028, 1404.351, 89.045, 1503.006, 
0.3567, wizardsTimeDist, 89.89788, bobcatsTimeDist, 89.54118, 93.2779, 1428.883, 93.30656, 1477.709, 
-2.344, raptorsTimeDist, 87.985, pacersTimeDist, 90.329, 88.954, 1452.735, 89.006, 1455.262, 
1.041, spursTimeDist, 97.605, lakersTimeDist, 96.564, 96.159, 1471.197, 96.117, 1433.232, 
3.262, knicksTimeDist, 93.083, magicTimeDist, 89.821, 90.621, 1467.202, 90.644, 1440.573, 
-2.399, blazersTimeDist, 95.556, kingsTimeDist, 97.955, 93.033, 1486.94, 92.958, 1418.434, 
-3.998, jazzTimeDist, 89.611, celticsTimeDist, 93.609, 92.488, 1502.393, 92.448, 1404.872, 
-4.454, wizardsTimeDist, 92.373, mavericksTimeDist, 96.827, 96.919, 1488.264, 96.868, 1417.084, 
-1.823, hawksTimeDist, 94.749, warriorsTimeDist, 96.572, 96.144, 1479.878, 96.156, 1424.933, 
-5.842, hornetsTimeDist, 95.198, rocketsTimeDist, 101.04, 94.242, 1562.662, 94.061, 1343.618, 
-3.723, heatTimeDist, 92.326, clippersTimeDist, 96.049, 92.331, 1452, 92.367, 1455.649, 
-0.77906, pacersTimeDist, 90.0133, bucksTimeDist, 90.79236, 93.07994, 1520.266, 92.98202, 1385.917, 
-3.241, bobcatsTimeDist, 87.877, timberwolvesTimeDist, 91.118, 91.511, 1449.567, 91.55, 1457.741, 
-3.518, grizzliesTimeDist, 92.188, thunderTimeDist, 95.706, 91.894, 1542.598, 91.802, 1365.13, 
-3.069, pistonsTimeDist, 88.929, sixersTimeDist, 91.998, 91.829, 1467.302, 91.775, 1439.528, 
